0,Einnahmen aus Steuern und steuerähnlichen Abgaben
01,Gemeinschaftsteuern und Gewerbesteuerumlage
011,Lohnsteuer
012,Veranlagte Einkommensteuer
013,Nicht veranlagte Steuern vom Ertrag (ohne Abgeltung-steuer auf Zins- und Ver-
"",äußerungserträge)
014,Körperschaftsteuer
015,Umsatzsteuer
016,Einfuhrumsatzsteuer
017,Gewerbesteuerumlage
018,Abgeltungsteuer auf Zins- und Veräußerungserträge
05-06,Landessteuern
051,Vermögensteuer
052,Erbschaftsteuer
053,Grunderwerbsteuer
055,Totalisatorsteuer
056,Andere Rennwettsteuern
057,Lotteriesteuer
058,Sportwettensteuer
059,Feuerschutzsteuer
061,Biersteuer
069,Sonstige Landessteuern
09,Steuerähnliche Abgaben
093,Abgaben von Spielbanken
099,Sonstige steuerähnliche Abgaben
1,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl."
11,Verwaltungseinnahmen
111,"Gebühren, sonstige Entgelte"
112,"Geldstrafen, Geldbußen und Zwangsgelder (einschließlich der damit"
"",zusammenhängenden Gerichts- und Verwaltungskosten)
119,Sonstige Verwaltungseinnahmen
12,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen)
121,Gewinne aus Unternehmen und Beteiligungen
122,Konzessionsabgaben
123,"Einnahmen aus Lotterie, Lotto, Toto"
124,Mieten und Pachten
125,Einnahmen aus der Veräußerung von beweglichen Sachen und Diensten aus
"",wirtschaftlicher Tätigkeit
129,Sonstige Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zin-
"",sen)
13,"Einnahmen aus der Veräußerung von Gegenständen, Kapitalrückzah-lungen"
131,Einnahmen aus der Veräußerung von unbeweglichen Sachen
132,Einnahmen aus der Veräußerung von beweglichen Sachen
133,Einnahmen aus der Veräußerung von Beteiligungen und sonstigem Kapitalver-
"",mögen
134,Kapitalrückzahlungen
14,Einnahmen aus der Inanspruchnahme von Gewährleistungen
141,Einnahmen aus der Inanspruchnahme von Gewährleistungen aus dem Inland
15,Zinseinnahmen aus dem öffentlichen Bereich
153,Zinseinnahmen von Gemeinden und Gemeindeverbänden
157,Zinseinnahmen von Zweckverbänden
16,Zinseinnahmen aus sonstigen Bereichen
161,Zinseinnahmen von öffentlichen Unternehmen und Einrichtungen
162,Sonstige Zinseinnahmen aus dem Inland
17,Darlehensrückflüsse aus dem öffentlichen Bereich
171,Darlehensrückflüsse vom Bund
173,Darlehensrückflüsse von Gemeinden und Gemeindeverbänden
177,Darlehensrückflüsse von Zweckverbänden
18,Darlehensrückflüsse aus sonstigen Bereichen
181,Darlehensrückflüsse von öffentlichen Unternehmen und Einrichtungen
182,Sonstige Darlehensrückflüsse aus dem Inland
186,Darlehensrückflüsse aus dem Ausland
2,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen
21,Allgemeine (nicht zweckgebundene) Zuweisungen aus dem öffentlichen Bereich
211,Allgemeine Zuweisungen vom Bund
212,Allgemeine Zuweisungen von Ländern
213,Allgemeine Zuweisungen von Gemeinden und Gemeindeverbänden
214,Allgemeine Zuweisungen von Sondervermögen
23,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichenBereich
231,Sonstige Zuweisungen vom Bund
232,Sonstige Zuweisungen von Ländern
