PGR,Aggregat,Hst.,Zweckbestimmung,FKZ,BKZ,FBZ,Anschlag 2016,VE Anschlag 2016,Anschlag 2017,VE-Anschlag 2017
01.01.01,EINN.KONSU,0010.11904-9,Von Dritten für Ablichtungen  ,011,010,,20,,20,
01.01.01,EINN.KONSU,0010.11910-3,Einnahmen aus dem Verkauf von Drucksachen  ,011,010,,0,,0,
01.01.03,EINN.KONSU,0010.11911-1,Rückzahlung von Fraktionszuschüssen und Gruppen- mitteln ,011,010,,0,,0,
01.01.01,EINN.KONSU,0010.11960-0,Vom Haushalt zu erstattende Umsatzsteuer  ,011,010,,0,,0,
01.01.01,EINN.KONSU,0010.11999-5,Vermischte Einnahmen  ,011,010,,500,,500,
01.01.01,EINN.KONSU,0010.12400-0,Mieten und Pachten  ,011,010,,"8,500",,"8,500",
01.01.01,EINN.KONSU,0010.12408-5,Nutzungsentgelte für Behördenparkplätze  ,011,010,,0,,0,
01.01.01,EINN.KONSU,0010.12411-5,Einnahmen aus Bewirtung und Vermietung von Räumen ,011,010,,"80,000",,"70,000",
01.01.01,EINN.KONSU,0010.12412-3,Anteil von Dritten an den Unkosten der Garage im Haus der Bürgerschaft ,011,010,,"2,100",,"2,100",
01.01.01,EINN.KONSU,0010.23601-0,Erstattungen von Krankenkassen nach dem Aufwendungsausgleichgesetz ,011,010,925,0,,0,
01.01.01,EINN.RUECK,0010.35901-5,Entnahme aus der Budgetrücklage  ,851,010,900,"25,000",,0,
01.01.01,EINN.RUECK,0010.35902-3,Entnahme aus der zweckgebundenen Rücklage für Folgeeffekte der Altersteilzeit ,851,010,925,0,,0,
01.01.01,EINN.RUECK,0010.35903-1,Entnahme aus der investiven Budgetrücklage  ,851,010,900,0,,0,
01.01.02,EINN.EKONS,0010.38020-0,Von Hst. 0304/980 10-9 für Arbeitsentgeltzuschüsse des Versorgungsamtes -Integrationsamt- ,892,010,,0,,0,
01.01.02,EINN.EKONS,0010.38120-7,Von Hst. 0304/981 10-5 Hilfe aus der Ausgleichs- abgabe nach SGB IX ,892,010,,0,,0,
01.01.01,EINN.EKONS,0010.38601-2,Von Hst. 3010/986 01-9 für die Wahrnehmung von Gemeindeaufgaben ,892,010,,"7,573,340",,"7,573,340",
01.01.03,AUSG.PERS,0010.41101-7,Aufwendungen für Abgeordnete und Deputierte sowie Versorgungsleistungen gem. BremAbgG ,011,010,,"9,485,830",0,"9,770,410",0
01.01.03,AUSG.PERS,0010.41102-5,Erstattungen an die Deutsche Bahn AG  ,011,010,,"15,900",0,"15,900",0
01.01.01,AUSG.PERS,0010.42201-9,Bezüge planmäßiger Beamten und Richter  ,011,010,925,"877,250",0,"881,000",0
01.01.01,AUSG.PERS,0010.42209-4,Nachversicherung für ausgeschiedene Beamte  ,011,010,925,"2,200",0,"2,220",0
01.01.01,AUSG.PERS,0010.42210-8,Bezüge planmäßiger Beamten und Richter (Altersteilzeit) ,011,010,925,0,0,0,0
