Produktbereich;Produktbereich-Bez;Teilplan;Teilplan-Bez;Produkt;Produkt-Bez;Aufwand/Ertrag;Ergebnisgliederungscode;Ergebnisgliederung-Bez;Sachkonto;Sachkonto-Bez;Betrag;Datum
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Ertrag;06;Kostenerstattungen und Kostenumlagen;44850000;Erstattungen von verbundenen Unternehmen,;97000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Ertrag;07;Sonstige ordentliche Erträge;45821100;Ertr. a.d. Auflös./Herabsetzung d. Pensionsrückst.;15600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Ertrag;07;Sonstige ordentliche Erträge;45821200;Ertr. a.d. Auflös./Herabsetzung d. Beihilferückst.;2000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50110000;Beamtinnen und Beamte;-315300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50120000;Arbeitnehmerinnen und Arbeitnehmer;-197800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50211000;Zuführung zur Versorgungsrücklage - Dienstbezüge;-10300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50220000;Arbeitnehmerinnen und Arbeitnehmer;-13000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50320000;Arbeitnehmerinnen und Arbeitnehmer;-44600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50410000;Beihilfen/ Unterstützungsleist. u.dgl. f.Beschäft.;-9600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50510000;Zuführungen zu Pensionsrückstellungen n. beamten-;-85100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;11;Personalaufwendungen;50610000;Zuführungen zur Beihilferückst. f. Beschäftigte;-24400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;12;Versorgungsaufwendungen;51110000;Beamtinnen und Beamte;-158100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;12;Versorgungsaufwendungen;51410000;Beihilfen, Unterstützungsleistungen für Ver-;-11700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;12;Versorgungsaufwendungen;51610000;Zuführungen zu Beihilferückstellungen für;-11800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52320000;Leasing;-4500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52511100;Pflege u. Unterhaltung v. Kfz u. and. Fahrzeugen;-4500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52610000;Besondere Aufwendungen für Beschäftigte;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52620000;Aus- und Fortbildung, Umschulung;-4000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710600;Prüfung elektrischer Betriebsmittel;-200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52911100;Spezielle Zweckausgaben der Verw.zweige (allgem.);-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;14;Bilanzielle Abschreibungen;57410000;AFA auf gel. Zuwendungen (aktive Rechnungsabgrenz);-23300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;15;Transferaufwendungen;53180000;Zuschüsse an übrige Bereiche;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;161;Sonstige ordentliche Aufwendungen;54292000;Verfügungsmittel (OB);-2000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54111000;Personalnebenaufwendungen;-400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54293000;Mitgliedsbeiträge an Verbände, Vereine u. dgl.;-500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310100;Bürobedarf;-4000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310201;Postgebühren allgemein;-1200,00;01.01.2017
