Profitcenter;Objektnr.;Bezeichnung;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017;VE 2018;Plan 2018;Plan 2019;Plan 2020;Plan 2021;Plan 2022
10101;1.100.01.01.01;Politische Gremien;44851000;Kostenerstattung  ASG für erbrachte Leis;-22.000,00;-22.000,00;-22.000,00;-22.000,00;0,00;-22.000,00;-22.000,00;-22.000,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;45910000;andere sonstige ordentliche Erträge;0,00;-1.528,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;48111000;Kostenerstattung Gebührenhaushalte;-4.306,00;-9.661,00;-9.661,00;-9.661,00;0,00;-9.661,00;-9.661,00;-9.661,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50000000;Planung Personalaufwendungen;0,00;0,00;103.251,41;99.841,46;0,00;101.247,26;102.679,50;104.138,57;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50110000;Bezüge Beamte;66.309,55;68.470,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50120000;Vergütungen tariflich Beschäftigte;6.847,28;6.928,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50220000;Beiträge Versorgungskassen tariflich Bes;554,79;561,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;1.215,94;1.230,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50510000;Rückstellungen für Pensionsverpflichtung;24.402,72;0,00;5.744,22;5.170,36;0,00;5.170,36;5.170,36;5.170,36;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;50610000;Rückstellungen für Beihilfen;8.287,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;51000000;Planung Versorgungsaufwendungen;0,00;0,00;13.865,36;12.480,18;0,00;12.836,76;13.193,34;13.549,91;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54123000;Fort- und Weiterbildung, Dienstreisen;18,94;57,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54210000;Aufwendungen für ehrenamtl. und sonst. T;349.924,75;383.250,83;435.000,00;449.400,00;0,00;454.400,00;454.400,00;454.400,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54211000;Unfallversicherung für ehrenamtlich Täti;1.710,64;1.810,64;1.950,00;1.950,00;0,00;1.950,00;1.950,00;1.950,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54310000;Geschäftsaufwendungen;807,00;1.279,61;3.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54319013;Sach- und Veranstaltungskosten Integrati;4.593,44;6.569,83;5.000,00;5.000,00;0,00;5.000,00;5.000,00;5.000,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54319044;Sonstige Kosten des Rates und der Aussch;6.302,43;6.032,52;8.500,00;8.500,00;0,00;8.500,00;8.500,00;8.500,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54920000;Fraktionszuwendungen;19.784,25;10.659,02;20.468,00;19.500,00;0,00;19.500,00;19.500,00;19.500,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54921000;Zuschuss an Fraktionen für Bildungs-/Sch;13.898,04;13.782,99;14.850,00;14.000,00;0,00;14.000,00;14.000,00;14.000,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;54922000;Zuschuss an Fraktionen für Personalkoste;150.772,50;136.887,43;132.057,00;127.000,00;0,00;127.000,00;127.000,00;127.000,00;0,00;0,00
10101;1.100.01.01.01;Politische Gremien;58110000;Aufwendungen aus internen Leistungsbez.;119.161,00;119.161,00;119.161,00;119.161,00;0,00;119.161,00;119.161,00;119.161,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;41610000;Erträge aus  SoPO-Auflösung aus Zuweisun;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;48111000;Kostenerstattung Gebührenhaushalte;-8.737,00;-8.737,00;-8.737,00;-8.737,00;0,00;-8.737,00;-8.737,00;-8.737,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50000000;Planung Personalaufwendungen;0,00;0,00;705.732,72;621.899,97;0,00;630.656,54;639.577,78;648.666,15;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50110000;Bezüge Beamte;370.468,46;386.796,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50120000;Vergütungen tariflich Beschäftigte;203.134,73;223.266,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50220000;Beiträge Versorgungskassen tariflich Bes;16.950,20;18.604,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;41.042,22;45.166,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50510000;Rückstellungen für Pensionsverpflichtung;136.336,89;0,00;39.262,27;32.205,53;0,00;32.205,53;32.205,53;32.205,53;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;50610000;Rückstellungen für Beihilfen;46.300,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;51000000;Planung Versorgungsaufwendungen;0,00;0,00;94.771,01;77.737,50;0,00;79.958,57;82.179,64;84.400,71;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;52510000;Haltung von Fahrzeugen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;52510003;Kfz-Haltung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;54123000;Fort- und Weiterbildung, Dienstreisen;1.930,10;2.213,66;1.500,00;1.500,00;0,00;1.500,00;1.500,00;1.500,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;54310000;Geschäftsaufwendungen;4.234,83;4.714,17;9.000,00;9.000,00;0,00;9.000,00;9.000,00;9.000,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;54312002;Repräsentation und Betreuung von Gästen;2.352,84;5.001,20;4.500,00;4.000,00;0,00;4.000,00;4.000,00;4.000,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;54910000;Verfügungsmittel;931,00;1.087,88;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;57110009;Abschreibungen auf Sachanlagen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;57118009;Abschreibungen auf GWG manuelle Planung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
