0,Einnahmen aus Steuern und
"",steuerähnlichen Abgaben
"",sowie EU-Eigenmittel
01,Gemeinschaftssteuern und
"",Gewerbesteuerumlage
011,Lohnsteuer (Landesanteil)
012,Veranlagte Einkommen-
"",steuer (Landesanteil)
013,Nicht veranlagte Steuern
"",vom Ertrag (ohne Abgel-
"",tungsteuer auf Zins- und
"",Veräußerungserträge)
014,Körperschaftssteuer (Lan-
"",desanteil)
015,Umsatzsteuer (Landesanteil)
016,Einfuhrumsatzsteuer (Lan-
"",desanteil)
017,Gewerbesteuerumlage (Lan-
"",desanteil)
018,Abgeltungsteuer auf Zins-
"",und Veräußerungserträge
"",Summe der Obergruppe 01
05/06,Landessteuern
052,Erbschaftsteuer
053,Grunderwerbsteuer
055,Totalisatorsteuer
056,Andere Rennwettsteuern
057,Lotteriesteuer
058,Sportwettensteuer
059,Feuerschutzsteuer
"",Summe der Obergruppe 05
061,Biersteuer
069,Sonstige Landessteuern
"",Summe der Obergruppe 06
093,Abgaben von Spielbanken
099,Sonstige steuerähnliche
"",Abgaben
"",Summe der Obergruppe 09
"",Summe der Hauptgruppe 0
1,"Verwaltungseinnahmen, Ein-"
"",nahmen aus Schulden-
"",dienst und dgl.
11,Verwaltungseinnahmen
111,"Gebühren, sonstige Entgelte"
112,"Geldstrafen, Geldbußen und"
"",Zwangsgelder (einschließ-
"",lich der damit zusammen-
"",hängenden Gerichts- und
"",Verwaltungskosten)
119,Sonstige Verwaltungsein-
"",nahmen
"",Summe der Obergruppe 11
12,Einnahmen aus wirtschaftli-
"",cher Tätigkeit und aus Ver-
"",mögen (ohne Zinsen)
121,Gewinne aus Unternehmen
"",und Beteiligungen
122,Konzessionsabgaben
123,"Einnahmen aus Lotterie,"
"",Lotto und Toto
124,Mieten und Pachten
125,Einnahmen aus der Veräu-
"",ßerung von beweglichen
"",Sachen und Diensten aus
"",wirtschaftlicher Tätigkeit
"",(Betriebseinnahmen)
129,Sonstige Einnahmen aus
"",wirtschaftlicher Tätigkeit und
"",aus Vermögen (ohne Zin-
"",sen)
"",Summe der Obergruppe 12
13,Einnahmen aus der Veräu-
"","ßerung von Gegenständen,"
"",Kapitalrückzahlungen
131,Einnahmen aus der Veräu-
"",ßerung von unbeweglichen
"",Sachen
132,Einnahmen aus der Veräu-
"",ßerung von beweglichen
"",Sachen
133,Einnahmen aus der Veräu-
"",ßerung von Beteiligungen
"",und sonstigem Kapitalver-
"",mögen
134,Kapitalrückzahlungen
"",Summe der Obergruppe 13
14,Einnahmen aus der Inan-
"",spruchnahme von Gewähr-
"",leistungen
141,Einnahmen aus der Inan-
"",spruchnahme von Gewähr-
"",leistungen aus dem Inland
146,Einnahmen aus der Inan-
"",spruchnahme von Gewähr-
"",leistungen aus dem Ausland
