Kapitel,Bezeichnung,TGr.,Bezeichnung,Titel,FZ,Zweckbestimmung,Ansatz 2016 in EUR,Ansatz 2017 in EUR,Ansatz 2018 in EUR
01010,Landtag Brandenburg,,,11910,011,Sonstige Verwaltungseinnahmen,1000,1000,1000
01010,Landtag Brandenburg,,,11920,011,Einnahmen aus Veröffentlichungen,2000,2000,2000
01010,Landtag Brandenburg,,,12410,011,Mieten und Pachten,45000,45000,45000
01010,Landtag Brandenburg,,,13210,011,Veräußerung von beweglichen Sachen,1500,1500,1500
01010,Landtag Brandenburg,,,28210,011,Sonstige Zuschüsse aus dem Inland,0,0,0
01010,Landtag Brandenburg,78,Pilotprojekt zur Einführung von Langzeitkonten,35978,851,Entnahme aus der Rücklage Langzeitkonto  ,,0,0
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,35999,851,Entnahme aus der Rücklage,0,0,0
01010,Landtag Brandenburg,,,41110,011,Aufwendungen für Abgeordnete,17421600,17644300,18096900
01010,Landtag Brandenburg,,,41120,011,Aufwendungen für ehemalige Abgeordnete und Hinterbliebene,3021500,2504200,2803300
01010,Landtag Brandenburg,,,42210,011,"Bezüge und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",2077800,2297400,2297400
01010,Landtag Brandenburg,,,42720,011,Entgelte für Aushilfen,130000,130000,130000
01010,Landtag Brandenburg,,,42810,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,4818800,5075900,5075900
01010,Landtag Brandenburg,,,45310,011,"Trennungsgeld oder -entschädigung, Umzugskostenvergütungen",0,0,0
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,42260,011,"Bezüge und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",0,81700,81700
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,42760,011,Entgelte für Aushilfen,0,0,0
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,42860,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,0,48800,48800
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,42261,011,"Bezüge  und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",0,0,0
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,42761,011,Entgelte für Aushilfen,0,0,0
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,42861,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,248600,259800,259800
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,42263,011,"Bezüge und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",148200,151000,151000
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,42863,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,0,0,0
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,45363,011,"Trennungsgeld oder -entschädigung, Umzugskostenvergütungen",0,0,0
01010,Landtag Brandenburg,78,Pilotprojekt zur Einführung von Langzeitkonten,42878,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer im Langzeitkonto ,,0,0
01010,Landtag Brandenburg,,,51110,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",166300,166300,166300
01010,Landtag Brandenburg,,,51120,011,"Brief- und Paketgebühren, sonstige Fernmeldegebühren",66000,97500,97500
01010,Landtag Brandenburg,,,51410,011,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",33900,33400,33400
01010,Landtag Brandenburg,,,51710,011,"Bewirtschaftung der Grundstücke, Gebäude und Räume",0,0,0
01010,Landtag Brandenburg,,,51810,011,Mieten und Pachten,0,0,0
01010,Landtag Brandenburg,,,51820,011,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",54000,56500,56500
01010,Landtag Brandenburg,,,51830,011,Leasing von Dienstkraftfahrzeugen,13400,13400,13400
01010,Landtag Brandenburg,,,51910,011,"Kleinere Unterhaltungsarbeiten an Grundstücken, Gebäuden und Räumen",0,0,0
01010,Landtag Brandenburg,,,52010,011,Nicht aufteilbare sächliche Verwaltungsausgaben bei ÖPP-Projekten,2962000,3050000,3138000
01010,Landtag Brandenburg,,,52510,011,"Aus- und Fortbildung, Lehr- und Lernmittel",12000,12000,12000
01010,Landtag Brandenburg,,,52610,011,"Sachverständige, Gerichtskosten und ähnliche Ausgaben",120000,120000,120000
01010,Landtag Brandenburg,,,52710,011,Reisekostenvergütungen für Dienstreisen,20000,20500,20500
01010,Landtag Brandenburg,,,52720,011,Reisekostenvergütungen für Reisen in Personalvertretungs- und Schwerbehindertenangelegenheiten,500,0,0
01010,Landtag Brandenburg,,,52910,011,Verfügungsmittel,17700,17700,17700
01010,Landtag Brandenburg,,,53120,013,Öffentlichkeitsarbeit des Landtages,332000,320500,320500
01010,Landtag Brandenburg,,,53130,013,Nachrichtenagenturdienste und Informationsdienste,175000,175000,175000
01010,Landtag Brandenburg,,,53150,013,Abgeltung von Ansprüchen nach dem Urheberrecht,0,0,0
01010,Landtag Brandenburg,,,53310,011,Kosten für Repräsentation und Förderung der politischen Zusammenarbeit mit anderen Bundesländern und dem Ausland,150000,150000,120000
01010,Landtag Brandenburg,,,53910,011,Ausgaben für Projekte und Wettbewerbe der parlamentarischen Bildung,18000,38000,38000
01010,Landtag Brandenburg,,,54110,011,Kosten für die Durchführung der Landtags- u. Ausschusssitzungen,58600,58600,58600
01010,Landtag Brandenburg,,,54120,011,Einführung in die Arbeit des Parlaments,80000,80000,80000
01010,Landtag Brandenburg,,,54140,011,Für besondere Veranstaltungen des Landtages,372100,213000,144800
01010,Landtag Brandenburg,,,54210,291,Ausgleichsabgabe nach dem Schwerbehindertenrecht - Sozialgesetzbuch-Neuntes Buch,0,0,0
01010,Landtag Brandenburg,,,54610,011,Sonstiges,18000,18000,18000
01010,Landtag Brandenburg,,,54620,011,Entschädigungs- und Ersatzleistungen an Dritte,1000,1000,1000
01010,Landtag Brandenburg,,,54640,229,Abgaben an die Künstlersozialkasse,1500,1500,1500
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,51160,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",0,26200,1200
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,51860,011,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",0,0,0
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,52660,011,"Sachverständige, Gerichts- und ähnliche Kosten",0,20000,20000
