Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernat,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle,Amt / Dienststelle Bezeichnung,Jahr,Art,Betrag
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2015,Erträge,"189056,5"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2015,Aufwendungen,"-1548772,73"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2016,Erträge,8800
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2016,Aufwendungen,-1586500
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2017,Erträge,189060
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2017,Aufwendungen,"-1591165,91"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2018,Erträge,189060
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-000,000 Gemeinderat,2018,Aufwendungen,"-1605155,9"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2015,Erträge,"73414,05"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2015,Aufwendungen,"-1239820,28"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2016,Erträge,48650
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2016,Aufwendungen,"-958576,26"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2017,Erträge,73410
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2017,Aufwendungen,"-1019669,9"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2018,Erträge,73410
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-001,001 Bürgermeisteramt,2018,Aufwendungen,-1034590
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2015,Erträge,"16452,1"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2015,Aufwendungen,"-530467,89"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2016,Erträge,8500
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2016,Aufwendungen,"-486755,86"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2017,Erträge,12000
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2017,Aufwendungen,"-514918,55"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2018,Erträge,12000
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-II,Dezernat II BMin Stuchlik,THH_06,THH 6 Management Dezernat II,AMT-002,002 Büro der BMin Stuchlik,2018,Aufwendungen,"-524576,98"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2015,Erträge,"28370,5"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2015,Aufwendungen,"-539143,92"
