Einzelplan;EPL-Bezeichnung;Kapitel;Kap_Bezeichnung;Haushaltsstelle;Zweckbestimmung;Ansatz für 2017  (EUR);Ansatz für 2018  (EUR);E/A;TGr-Titel;TGR_Kurzbezeichnung;Funktion;Funktionenplan.Kurzbezeichnung;Aufgabenschlüssel;Aufgabenschlüssel.Kurzbezeichnung
01;Landtag;0101;Landtag;0101-119 01;Sonstige Verwaltungseinnahmen;15.000;15.000;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-119 02;Einnahmen aus Veröffentlichungen;0;0;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-119 04;Einnahmen aus dem Verkauf des Firmentickets;40.000;40.000;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-119 11;Einnahmen - Repräsentationsgeschenke -;0;0;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-119 12;Einnahmen - Öffentlichkeitsarbeit -;1.000;1.000;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-124 01;Einnahmen aus Vermietung, Verpachtung und Nutzung;30.000;68.000;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-282 12;Zuschüsse Dritter;0;0;E;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-411 01;Aufwendungen für Abgeordnete;14.222.000;18.955.000;A;0;;011;Politische Führung;2910 0101;Aufwendungen für Abgeordnete
01;Landtag;0101;Landtag;0101-411 11;Aufwendungen für frühere Abgeordnete und deren Hinterbliebene;9.604.000;14.186.000;A;0;;011;Politische Führung;2910 0102;Aufwendungen für frühere Abgeordnete und
01;Landtag;0101;Landtag;0101-411 12;Aufwendungen für die Beschäftigung von Bürokräften nach § 7 Abs. 2 NAbgG;6.547.000;7.563.000;A;0;;011;Politische Führung;2910 0101;Aufwendungen für Abgeordnete
01;Landtag;0101;Landtag;0101-411 61;Reisekosten der Abgeordneten;87.000;92.000;A;1;Internationale Ausschuss- und Präsidiumsreisen;011;Politische Führung;2910 0101;Aufwendungen für Abgeordnete
01;Landtag;0101;Landtag;0101-412 11;Entschädigung an Vorsitzende der  Einigungsstellen gem.  § 71 Abs. 7 NPersVG und § 48 Abs. 3 Nds. Richtergesetz;1.000;1.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-422 01;Bezüge und Nebenleistungen der Beamtinnen, Beamten, Richterinnen und Richter;9.887.000;10.141.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-422 04;Anwärterbezüge;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-422 06;Mehrarbeitsvergütungen für Beamtinnen und Beamte;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-422 19;Altersteilzeitzuschläge;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-427 01;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;245.000;245.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-428 01;Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Beschäftigte);0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-428 04;Entgelte für Auszubildende;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-428 06;Mehrarbeits- und Überstundenentgelt sowie Zeitzuschläge für Überstunden;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-441 01;Beihilfen für Beamtinnen, Beamte, Richterinnen und Richter;191.000;196.000;A;0;;841;Beihilfen, Unterstützungen;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-441 05;Beihilfen für Arbeitnehmerinnen und Arbeitnehmer;1.000;1.000;A;0;;841;Beihilfen, Unterstützungen;2910 0105;Landtagsverwaltung
